tweet_id,text,location,cleaned_text
ID_1032574925201199104,Update: #KeralaFloodRelief Today HelpAge Nadavayal e-Health center team conducted 2 medical camps in Edavaka Panchayat - in Palliyara Arts & Sports club & in Puthussery tribal colony. Hundreds of medical relief treatments being provided in worst hit areas daily. #KeralaFloods,Edavaka Panchayat Nadavayal Puthussery,Update KeralaFloodRelief today HelpAge Nadavayal eHealth center team conduct 2 medical camp Edavaka Panchayat   Palliyara Arts   Sports club   Puthussery tribal colony hundred medical relief treatment provide bad hit area daily KeralaFloods
ID_1062670012044005376,"The tolls have climbed in Californias wildfires: An additional 6 bodies have been recovered from Paradise, CA/the #CampFire, which brings the state death toll to 50 while the number of destroyed structures now surpasses 9,000 in the state:",CA Californias Paradise,toll climb Californias wildfire additional 6 body recover Paradise CAthe CampFire bring state death toll 50 number destroy structure surpass 9000 state
ID_722039255736958976,RT @CBSNews: U.S. Army joins race to help earthquake victims and find missing in southern Japan:,Japan U.S.,RT   Army join race help earthquake victim find miss southern Japan
ID_910702005676425216,"Please donate to those affected by the massive earthquake in Central Mexico, anything helps!! #FuerzaMéxico ❤️",Mexico,donate affect massive earthquake Central Mexico help FuerzaMxico
ID_913615213076692992,RT @rrritualzzz: new track out now:  - buy the full album to help victims of the 09/19 earthquake in central mexico,mexico,RT   new track    buy album help victim 0919 earthquake central mexico
ID_783633535076892672,"Here in FL and US we can prepare and recover, but places like Haiti most people cant. If you have means to send help to Haiti, please do.",FL Haiti US,FL prepare recover place like Haiti people not mean send help Haiti
ID_1023520457407049728,"The Guardian - As the death toll reaches 88, the head of the fire service union says the government made thousands of small mistakes that led to the unprecedented number of fatalities  #Greece #wildfires #Πυρκαγια",Greece,Guardian   death toll reach 88 head fire service union say government thousand small mistake lead unprecedented number fatality   Greece wildfire
ID_1112056873333784576,Thank you Carey Community!!! The items you donated to help those in need in Nebraska have been delivered to a trailer that leaves tomorrow. Your items will be in Nebraska tomorrow evening. Prayers to the crew for safe travels! #OhiosRuralAmericaReliefEfforts,Nebraska,thank Carey Community item donate help need Nebraska deliver trailer leave tomorrow item Nebraska tomorrow evening prayer crew safe travel ohiosruralamericareliefeffort
ID_1167817612673409024,Stay safe everyone. I hope damage is minimal,,stay safe hope damage minimal
ID_783389250926604288,#BREAKING NEWS: Hurricane-hit southern Haiti cut off after a bridge collapsed. #Matthew,Haiti,break NEWS Hurricanehit southern Haiti cut bridge collapse Matthew
ID_735824622826999808,AT 6:30AM: @llikemoyd reports a huge emergency exercise takes place at Grouse Mtn this AM. Focus is response to a major wildfire.,,630AM   report huge emergency exercise take place Grouse Mtn Focus response major wildfire
ID_902634538685399040,".@HoustonFoodBank, @FoodBankofCC and Galveston County Food Bank also are asking for cash or donations.  #Harvey",Galveston County,   Galveston County Food Bank ask cash donation   harvey
ID_783776954562457600,"RT @nbc6: UPDATE: Death toll from Hurricane #Matthew reaches 25, most deaths occurred in Haiti:",Haiti,RT   update death toll Hurricane Matthew reach 25 death occur Haiti
ID_872379270810742784,The reception at the Disaster Management Ministry still has piles of relief supplies/donations for #FloodSL #lka #SriLanka,SriLanka,reception Disaster Management Ministry pile relief suppliesdonation FloodSL lka SriLanka
ID_1167786434343964672,"To my friends still in the Orlando/Melbourne —> Miami area: PLEASE stay safe. Follow warnings from officials on #HurricaneDorian, they have your safety in mindI PROMISE! To my #PIO fam: make sure your loved ones & fam are okay. Know I’m here if you need support! #PIOsMatter",Melbourne Miami Orlando,friend OrlandoMelbourne   Miami area stay safe follow warning official HurricaneDorian safety mindI PROMISE PIO fam sure love one   fam okay know m need support piosmatter
ID_1167584523145506816,"#HurricaneDorian #HurricaneKatrina #survival completely hidden yet incredibly useful when needed - Theres reason the new Rescue Card has become such a popular every day carry item. It puts confidence in you, knowing you have all must have tools with you.",,HurricaneDorian HurricaneKatrina survival completely hide incredibly useful need   s reason new Rescue Card popular day carry item put confidence know tool
ID_1167503203258314752,"Important update to Orange County residents on #HurricaneDorian. Remember to call 311 for any hurricane-related questions. For individuals who wish to register for a Special Needs/Medical Shelter, please make sure to pre-register by calling 311.",Orange County,important update Orange County resident HurricaneDorian remember 311 hurricanerelated question individual wish register Special NeedsMedical Shelter sure preregister call 311
ID_1176488166536228864,The cities infrastructure was damaged and vehicles parked on the roads fell into the pits created by the quake. The tremors hit at a shallow depth of 10 kilometres with the epicentre lying 1km southeast of New Mirpur in Azad Jammu and Kashmir.#earthquake,Azad Jammu New Mirpur,city infrastructure damage vehicle park road fall pit create quake tremor hit shallow depth 10 kilometre epicentre lie 1 km southeast New Mirpur Azad Jammu Kashmirearthquake
ID_1111388847080792064,@OfficialRFDTV how do I watch an interview Janet Atkinson did with a lady in Nebraska about donating to flood victims that was aired a few days ago?,Nebraska,  watch interview Janet Atkinson lady Nebraska donate flood victim air day ago
ID_783610962645553152,TOP STORY: South Carolina begins evacuation of coastal areas as Hurricane Matthew heads north from Haiti & Cuba:,Cuba Haiti South Carolina,STORY South Carolina begin evacuation coastal area Hurricane Matthew head north Haiti   Cuba
ID_721683479008776192,RT @telesurenglish: Correction: VP of Ecuador confirms 77 dead and 588 injured after coastal 7.8 earthquake.,Ecuador,RT   Correction VP Ecuador confirm 77 dead 588 injure coastal 78 earthquake
ID_783609609982320640,"Heartbreaking. Please look into relief efforts if you have the means. Keep them in your thoughts, and the Bahamians.",Bahamians,heartbreake look relief effort mean thought Bahamians
ID_1031032243567947776,#KeralaSOS Rain mayhem in Kerala: Residents rush to relief aid centers; citizens donate food and medical supplies. #ITVideo More videos:,Kerala,KeralaSOS rain mayhem Kerala Residents rush relief aid center citizen donate food medical supply ITVideo video
ID_906973567266508800,Don’t let your guard down! Irma is bringing dangerous conditions to ALL of Florida including the east coast. #Irma #FLWX,Florida,not let guard Irma bring dangerous condition Florida include east coast Irma FLWX
ID_1110833810424451072,Prophet Bushiri’s ECG Church in Malawi has donated assorted relief items to over 150 families affected by Tropical Cyclone Idai. #CycloneIdai #CycloneIdaiZW #CycloneIdaiUPDATE @iAmKudaMaynard @psbushiri,Malawi Prophet Bushiri’s ECG Church,Prophet Bushiris ECG Church Malawi donate assorted relief item 150 family affect Tropical Cyclone Idai CycloneIdai CycloneIdaiZW CycloneIdaiUPDATE  
ID_1167830418718167040,Rescue transport bringing dogs and cats to Atlanta Humane Society ahead of Hurricane Dorian,Atlanta,rescue transport bring dog cat Atlanta Humane Society ahead Hurricane Dorian
ID_769663482845286400,RT @andreanatalemd: next week several establishments in #ATX are raising money to support those affected by the #ItalyEarthquake #donate ht,,RT   week establishment ATX raise money support affect ItalyEarthquake donate ht
ID_907665390486081536,Officials: 90% of homes in Florida Keys damaged or destroyed by Irma,Florida,official 90 home Florida Keys damage destroy Irma
ID_1168169238739075072,RT @marylene58: MT: Wayne Dupree Border Patrol Agents Are On Their Way To Assist With Hurricane Dorian Aid  via @Wa,,RT   MT Wayne Dupree Border Patrol Agents way assist Hurricane Dorian Aid  
ID_797985366447833088,RT @CeridwenFraser: Emergency services ready with cool drone helpers in Wellington #eqnz,Wellington,RT   Emergency service ready cool drone helper Wellington eqnz
ID_1041969433718272000,".@SecretaryZinke on #Florence recovery efforts: Were out there doing search and rescue, and the first responders are doing a great job.",,  Florence recovery effort search rescue responder great job
ID_797797331928162304,RT @a4design: Tsunami alarms now going off in Lower Hutt - we thought we’d moved north enough but time to be safer #EQNZ,Lower Hutt,RT   Tsunami alarm go Lower Hutt   think d move north time safe eqnz
ID_768760370177708032,Volunteers distributing food near #Amatrice #ItalyEarthquake #terremoto,Amatrice,volunteer distribute food near Amatrice ItalyEarthquake terremoto
ID_1040144524696322048,NOTE: THE AMERICAN CAJUN NAVY IS NOT THE SAME AS THE LOUISIANA CAJUN NAVY!! ONLY THE LOUISIANA CAJUN NAVY IS RECOGNIZED BY FEMA AND THE WHITE HOUSE! PLEASE #DONATE SO WE CAN #HELP LA. CAJUN NAVY HELP ALL IN THE EFFECTED AREAS.,LOUISIANA,note AMERICAN CAJUN NAVY louisiana cajun NAVY louisiana CAJUN NAVY recognized FEMA white HOUSE DONATE help LA CAJUN navy help effect area
ID_1109813322977894400,"#CycloneIdai has devastated families in Malawi, Mozambique and Zimbabwe. More than 1.6m people are in urgent need of aid. We’re on the ground providing life-saving support to families and children affected. Support our work:",Malawi Mozambique Zimbabwe,CycloneIdai devastate family Malawi Mozambique Zimbabwe 16 m people urgent need aid ground provide lifesaving support family child affect support work
ID_1107830563984019456,Relief for Chimanimani #CycloneIDAI survivors begin to trickle as aid agencies and the Zimbabwe National Army slowly manage to access affected areas. Humanitarian assistance has been slow due to damaged roads and bad weather.,Chimanimani Zimbabwe,relief Chimanimani CycloneIDAI survivor begin trickle aid agency Zimbabwe National Army slowly manage access affect area humanitarian assistance slow damaged road bad weather
ID_1111585695099949056,Entire villages have been washed away by #CycloneIdai- we are working around the clock to provide relief to the victims. But WFP requires US$140 million for humanitarian support in #Mozambique over the next 3 months. Everyone can help. Donate now ὐ0,Mozambique,entire village wash away CycloneIdai work clock provide relief victim WFP require US140 million humanitarian support Mozambique 3 month help donate 0
ID_913980526708580352,#Mexicotequiero I Love Mexico - the proceeds from this pin I’ve designed will assist earthquake aid and recovery:,Mexico,Mexicotequiero Love Mexico   proceed pin ve design assist earthquake aid recovery
ID_878267628011241472,Private sector engagement with UN agencies & #NBRO at @ShelterCluster meeting to support flood affected communities #SriLanka,SriLanka,private sector engagement UN agency   NBRO   meet support flood affect community SriLanka
ID_721719436361801728,"Ecuador earthquake: 10,000 troops deployed as rescue begins",Ecuador,Ecuador earthquake 10000 troop deploy rescue begin
ID_1176511464116510720,"At least 20 killed, over 100 injured in todays 5.8 magnitude #earthquake in #Pakistan. Since epicenter was in PoK wondering what is the situation in #JammuAndKashmir.",Pakistan PoK,20 kill 100 injure todays 58 magnitude earthquake Pakistan epicenter pok wonder situation JammuAndKashmir
ID_1032053731494248448,"Reliance Foundation will contribute Rs 21 crore to the Kerala Chief Minister’s Relief Fund. The foundation stands firmly with the people of Kerala in this hour of need.” Smt. Nita M. Ambani, Chairperson, #RelianceFoundation. #RFForKerala #Keralafloods #KeralaFloodRelief",Kerala,Reliance Foundation contribute Rs 21 crore Kerala Chief Ministers Relief Fund foundation stand firmly people Kerala hour need Smt Nita M Ambani Chairperson RelianceFoundation RFForKerala Keralafloods KeralaFloodRelief
ID_1176720928576815104,RT @Ruptly: At least 20 dead after #earthquake hits #Pakistan-administered #Kashmir,Kashmir Pakistan,RT   20 dead earthquake hit Pakistanadministered Kashmir
ID_1110590494751363072,Mozambique Warns of More Flooding from Cyclone-Filled Dams,Mozambique,Mozambique Warns flooding CycloneFilled Dams
ID_902644260096311296,"Floods wreaking havoc through Texas, Nepal, India, Bangladesh: 10 million + affected, 1200+ dead Almost as if the climate is  changing",Bangladesh India Nepal Texas,flood wreak havoc Texas Nepal India Bangladesh 10 million   affect 1200 dead climate   change
ID_1061256538671759360,At least 9 dead as fires spread on both ends of California @CNN,California,9 dead fire spread end California
ID_1021745461928099840,"According to the mayor of Rafina, the municipality near Athens that was hit by last nights #GreekFires wave, the death toll will rise significantly. He can confirm that at least 60 people have died #AthensFires #athensforestfires",Athens Rafina,accord mayor Rafina municipality near Athens hit night GreekFires wave death toll rise significantly confirm 60 people die AthensFires athensforestfire
ID_1167611132632358912,Florida Prepares for Hurricane Dorian Evacuations; Governor Addresses Gas Shortage,Florida,Florida prepare Hurricane Dorian Evacuations Governor Addresses Gas Shortage
ID_1066426005454172160,I adopt at least one family every year for Christmas. This year I have adopted a very deserving Camp Fire family. I set them up with a WL. Amazon GC’s to TheMistressBlondie@ g m a i l will be used to clear out their list Put Camp Fire” in the gift note if you want to help!,,adopt family year Christmas year adopt deserving Camp Fire family set WL Amazon GCs themistressblondie g m l clear list Camp Fire gift note want help
ID_902661306062442496,"super thorough list of where to donate/help, ya know if red cross isnt your thing",,super thorough list donatehelp ya know red cross not thing
ID_728601875444944896,@atbfinancial 2/2 the wildfire situation if I were to win please donate it to the Red Cross #FriendshipPays,,  22 wildfire situation win donate Red Cross FriendshipPays
ID_768537722239627264,"If you want to donate to the #ItalianRedCross via #paypal go to . page is Italian only, but easy #italyearthquake",,want donate ItalianRedCross paypal   page italian easy italyearthquake
ID_784696268392108032,Man we need to do something to help Haiti First the 2010 earthquake and now the hurricane .. So sad,Haiti,man need help Haiti 2010 earthquake hurricane   sad
ID_1039566200848637952,"ALERT: BMS will once again open its campgrounds to hurricane evacuees beginning today, Sept. 11, at 1 p.m. Evacuees may call toll free 866.415.4158 for more information. Our thoughts and prayers continue to be with those in the path of Hurricane Florence.",Florence,ALERT BMS open campground hurricane evacuee begin today Sept 11 1 pm Evacuees toll free 8664154158 information thought prayer continue path Hurricane Florence
ID_783808527047364608,For all of you asking how you can help. Hurricane Matthew Relief ::: Northwest Haiti Christian Mission.,Haiti,ask help Hurricane Matthew Relief   Northwest Haiti Christian Mission
ID_1176476830674620416,5.8 magnitude #earthquake in Jehlum and Azad Kashmir Pakistan and touched even Delhi. 2 dead in mirpur more then 100 injured. Buildings down and road are completely damaged. #earthquake,Azad Kashmir Delhi Jehlum Pakistan mirpur,58 magnitude earthquake Jehlum Azad Kashmir Pakistan touch Delhi 2 dead mirpur 100 injure building road completely damage earthquake
ID_1110242671635910656,"As Nebraskans begin returning to their homes in the aftermath of widespread historic flooding, Nebraska Extension has mobilized a number of resources to aid in the road to recovery. ››  #NebraskaStrong",Nebraska,Nebraskans begin return home aftermath widespread historic flooding Nebraska Extension mobilize number resource aid road recovery    NebraskaStrong
ID_1167498680406069248,Hey @CityofKissimmee your team distributing sandbags at MLK and Alaksa are ROCKING IT OUT and still have smiles on their faces! A big thank you to all the guys out there helping to keep our homes a little safer. #HurricaneDorian,Alaksa,hey   team distribute sandbag MLK Alaksa rock smile face big thank guy help home little safe hurricanedorian
ID_729491847823904768,"I added a video to a @YouTube playlist  Wildfire destroys homes in Canadian city; 80,000 ordered evacuated",Canadian,add video   playlist   wildfire destroy home canadian city 80000 order evacuate
ID_1031816903512215552,There are millions of people in Kerala still displaced due to the rains and the numbers are only rising. Lets act. Every little contribution matters.  #ElderlyCareMyKartavya #KeralaFloodRelief #KeralaFloods @MyKartavya @NASSCOMfdn,Kerala,million people Kerala displace rain number rise Lets act little contribution matter   ElderlyCareMyKartavya KeralaFloodRelief KeralaFloods  
ID_1110922150393712640,The drill has started for Saunders County. Tornado sirens will likely sound shortly.,Saunders County,drill start Saunders County Tornado siren likely sound shortly
ID_721577803028639744,Arutz7: More than 40 killed by massive Ecuador earthquake  #israel,Ecuador israel,Arutz7 40 kill massive Ecuador earthquake   israel
ID_1110917576211746816,Im in Omaha at a meeting of Within Reach. The network of local churches has gathered to hear from nationwide ministries responding to the flooding across the state of Nebraska about how they can help.  #NebraskaFlood,Nebraska Omaha,m Omaha meeting Reach network local church gather hear nationwide ministry respond flooding state Nebraska help   NebraskaFlood
ID_1022455258226864128,"Greece is facing its worst wildfires in more than a decade, with a death toll of 80, according to @MelissaBellCNN. Im completely devastated, one survivor says.",Greece,Greece face bad wildfire decade death toll 80 accord   m completely devastate survivor say
ID_910725964698734592,RT @dougducey: #Arizona joins #Texas in offering our support and assistance to Mexico in this time of need. #MexicoCityEarthquake,Arizona Mexico Texas,RT   Arizona join Texas offer support assistance Mexico time need MexicoCityEarthquake
ID_1063139231436955648,#California #wildfires death toll rises to 59 with dozens still unaccounted for  | #Climageddon,California,California wildfire death toll rise 59 dozen unaccounted    Climageddon
ID_1110803945939701760,@BonganiChipare Helping people does not give ZANU the license to loot donated aid meant for the victims of #CycloneIdai,,  help people ZANU license loot donate aid mean victim CycloneIdai
ID_1113215812913876992,A Kansas woman bought the remaining shoes - including 162 pairs of baby shoes - at a closing Payless store so she could give them to Nebraska flood victims.,Kansas Nebraska,Kansas woman buy remain shoe   include 162 pair baby shoe   close payless store Nebraska flood victim
ID_911995859549720576,FL-Accounting is honored to partner with relief agencies as a collection point for supplies needed for Puerto Rico. #hurricanemaria #donate,Puerto Rico,flaccounting honor partner relief agency collection point supply need Puerto Rico hurricanemaria donate
ID_783662608981364736,Not sure how to help poorest victims of Hurricane Matthew? From US Embassy in Haiti --,Haiti,sure help poor victim Hurricane Matthew Embassy Haiti
ID_1167952439330258944,Unless they allow evacuees from #Dorian in for free,,allow evacuee Dorian free
ID_1001562295426744320,"This is so sad -- this man, Eddison Hermond, was out in that terrible storm trying to help people -- and he was killed, swept away. . . May G-d rest his soul.",,sad   man Eddison Hermond terrible storm try help people   kill sweep away    Gd rest soul
ID_722135913774514176,"Hundreds Injured, Dead After Quake In Ecuador  #caribbean |",Ecuador,hundred injure dead quake Ecuador   caribbean
ID_903762258286792704,"Kids start lemonade stand to help HurricaneHarvey victims, reports Camille Amiri",,kid start lemonade stand help HurricaneHarvey victim report Camille Amiri
ID_903064722274041856,SkyEye13 tours damage from Hurricane Harvey CLICK BELOW FOR FULL STORY,,skyeye13 tour damage Hurricane Harvey CLICK story
ID_909222779232366592,@POTUS declares Major Disaster in #USVI @GovernorMapp & declares Emergency in #SC @henrymcmaster #HurricaneIrma Listen to local officials.,,  declare Major Disaster USVI    declare Emergency SC   HurricaneIrma listen local official
ID_914487564366643200,"Recently, Mexico was hit was by a 7.1 magnitude earthquake. The earthquake caused damage in the Mexican states of",Mexico,recently Mexico hit 71 magnitude earthquake earthquake cause damage mexican state
ID_910697449219661824,"@mcbourbonnais1 MC please help giving a shout out to your fans at Mexico suffering because of the earthquake. Try to make more people aware, we need help!",Mexico,  MC help give shout fan Mexico suffer earthquake try people aware need help
ID_729839492597604352,"RT @BACEtweets: Australian Breastfeeding Association supports for infant feeding in emergencies, tailored to wildfire evacuations: /",Australian,RT   Australian Breastfeeding Association support infant feeding emergency tailor wildfire evacuation
ID_869998379350274048,"RT @jungiNishan2020: Nepal Government finally decides to help 50,000 $ to the flood affected community of Sri lanka . Though Late, A good i",Nepal Sri lanka,RT   Nepal Government finally decide help 50000   flood affect community Sri lanka   Late good
ID_1039525295726964736,"In preparation for #HurricanceFlorence and evacuation notices for coastal #NC counties, @VisitGreenville will be updating #GreenvilleNC & #PittCounty hotel/motel availability this week here:",NC,preparation HurricanceFlorence evacuation notice coastal NC county   update GreenvilleNC   PittCounty hotelmotel availability week
ID_1022013285053476864,Local authorities in the fire-stricken area of Rafina have been overwhelmed by private donations. People affected by #Greecefires can get medicine and other essentials from the former US base in Nea Makri. #Mati is still without water and electricity #Πυρκαγιά,Nea Makri Rafina US,local authority firestricken area Rafina overwhelm private donation People affect Greecefires medicine essential base Nea Makri Mati water electricity
ID_783808266195263488,Haiti Costal Town Destroyed by Hurricane Matthew: The hurricane is expected to hit the Florida coast next.,Florida Haiti,Haiti Costal Town destroy Hurricane Matthew hurricane expect hit Florida coast
ID_1031451230479048704,"There is a #food requirement for food for 500 people at L.P school Kottappuram, #Aluva . #KeralaFloodRequest #KeralaFloodRelief Tagging @goonj @vinayaravind @KaapiRight @Akkyllees @akosotto @crazytwism @joele__ @vip_nair @thebhavyeah @iKamranShahid #KeralaSOS",Aluva Kottappuram,food requirement food 500 people LP school Kottappuram Aluva   KeralaFloodRequest KeralaFloodRelief Tagging            KeralaSOS
ID_797803383373504512,RT @rameshlaus: #NewZealand s entire east coast is under Tsunami threat.. A powerful 7.8 -magnitude quake rocks,NewZealand,RT   NewZealand s entire east coast Tsunami threat powerful 78 magnitude quake rock
ID_797792928034799616,Are there tsunami sirens or evacuations happening in Auckland? Especially Maraetai and Beachlands? #eqnz,Auckland,tsunami siren evacuation happen Auckland especially Maraetai Beachlands eqnz
ID_1168294588114722816,"Dorian destroyed Abaco. damn man , pray for them ὤFἿD",Abaco,Dorian destroy Abaco damn man   pray FD
ID_870566992281034752,"100 killed, hundreds missing, 500K people in 14 districts effected from floods in Sri Lanka. We need ya help #FloodSL #PrayForSriLanka",Sri Lanka,100 kill hundred miss 500 k people 14 district effect flood Sri Lanka need ya help FloodSL prayforsrilanka
ID_1110785722590478336,Climate change is kicking our militarys ass just like the military said it would. But Republican clowns didnt believe our military. What jackasses. Extreme weather has again damaged a major military base,,climate change kick military ass like military say republican clown not believe military jackasse extreme weather damage major military base
ID_912093527953362944,"Hurricane Maria an Increasing Threat to Brush NC, VA Tidewater With Winds, Rain, Coastal Flooding; Tropical Storm, Storm Surge Watches Issue",NC VA,Hurricane Maria increase threat Brush NC VA Tidewater wind rain Coastal Flooding Tropical storm storm surge watch issue
ID_912307601743929344,἟2἟D Along with @RFC_Charity the club are urging fans to donate to @UNICEF’s Mexico Earthquake Appeal:,Mexico,2d   club urge fan donate s Mexico Earthquake Appeal
ID_768882558163623936,RT @theOFDA: .@USGS reports M6.2 #ItalyEarthquake hit in early AM followed by aftershocks. Our experts in the region r monitoring,,RT    report M62 ItalyEarthquake hit early follow aftershock expert region r monitoring
ID_770019669486993408,"RT @RedCrossAU: .@crocerossa teams still providing health care, support for ppl affected by #ItalyEarthquake which claimed over 280 lives",,RT    team provide health care support ppl affect ItalyEarthquake claim 280 life
ID_911634277149929472,Everyone ct and donate to those affected in Mexico by the earthquake rt,Mexico,ct donate affect Mexico earthquake rt
ID_1061151567242358784,"Please donate to California Fire Foundation & California Community Fund, two efforts to care for the victims of the #WoolseyFire & #HillFire, and those who are putting their lives on the line to fight it. @CAFireFound:  @calfund:",California,donate California Fire Foundation   California Community Fund effort care victim WoolseyFire   HillFire put life line fight   
ID_913792010414206976,"Damage caused by Hurricane Maria likely to affect Puerto Rico’s economy heavily, increasing contract and  #Defense",Puerto Rico,damage cause Hurricane Maria likely affect Puerto Ricos economy heavily increase contract   Defense
ID_1176548206311878656,"The #PakistanArmy aviation helicopters have completed aerial reconnaissance for damage assessment in Mirpur, Jarikas and Jatlan areas. Army troops have reached #earthquake hit areas in Azad Kashmir. Relief and rescue efforts are underway: ISPR",Azad Kashmir Jarikas Jatlan Mirpur,PakistanArmy aviation helicopter complete aerial reconnaissance damage assessment Mirpur Jarikas Jatlan area Army troop reach earthquake hit area Azad Kashmir Relief rescue effort underway ISPR
ID_768766893117280256,RT @BlogRArmitage: How you can help the survivors of the powerful earthquake in Italy ✨✨✨✨✨ #ItalyEarthquake #Amatrice,Italy,RT   help survivor powerful earthquake Italy   ItalyEarthquake Amatrice
ID_783905916701716480,"US helicopters sent to Haiti after hurricane: PORT-AU-PRINCE, Haiti - Rescue workers in Haiti struggled to reach",Haiti,helicopter send Haiti hurricane PORTAUPRINCE Haiti   Rescue worker Haiti struggle reach
ID_912991650464575488,"RT @S_T_O_P_TERROR: #USNavy personnel evacuate children from Dominica, where at least 27 people died as a result of Hurricane #Maria.",Dominica,RT   USNavy personnel evacuate child Dominica 27 people die result Hurricane Maria
ID_907523755471126528,Key West: #aerial #footage shows #Irmas damage – #video,Key West,key west aerial footage show Irmas damage   video
ID_1167531067424854016,To see evacuation orders,,evacuation order
ID_769142504218365952,"Along with the British couple killed in #ItalyEarthquake, the child of family friends also died. 14 year old Marcos Burnett. @SkyNews",,british couple kill ItalyEarthquake child family friend die 14 year old Marcos Burnett
ID_1022360917877698560,Brian always put others before himself - Tributes paid as body of tragic groom found in wake of Greece wildfires,Greece,Brian   Tributes pay body tragic groom find wake Greece wildfire
ID_1168023414293942272,Barbados major damage from Hurricane Dorian - FiWEH Life -,Barbados,Barbados major damage Hurricane Dorian   fiweh life
ID_1168242602573029376,WCK’s Chef Relief Team is on the ground in Florida preparing for #HurricaneDorian — now a Category 2 and intensifying. We are activating multiple kitchens and will be ready to respond wherever a hot meal is needed. More updates soon. #ChefsForFlorida,Florida,WCKs Chef Relief Team ground Florida prepare HurricaneDorian   category 2 intensify activate multiple kitchen ready respond hot meal need update soon ChefsForFlorida
ID_1042000947705262080,Volunteers from the American Red Cross will be in our studios until 7PM to take your calls and donations to help families affected by Hurricane Florence. Call (614) 469-10TV (1088) You can also text REDCROSS” to 90999 or visit  #10TV,American,volunteer American Red Cross studio 7pm call donation help family affect Hurricane Florence 614 46910tv 1088 text redcross 90999 visit   10tv
ID_783833111507439616,God’s Promise is crowdrising for Haiti - Hurricane Matthew Emergency Relief Fund:,Haiti,Gods promise crowdrise Haiti   Hurricane Matthew Emergency Relief Fund
ID_797908395198062592,RT @grantrobertson1: Engineers doing their job around Wellington CBD with a few buildings cordoned off. Broken windows main problem #eqnz h,Wellington,RT   Engineers job Wellington CBD building cordone broken window main problem eqnz h
ID_797833312643387392,On @RadioNZ - Bill Fry - tsunami had been caused by the land based #eqnz - no landslide into an underwater canyon etc.,,   Bill Fry   tsunami cause land base eqnz   landslide underwater canyon etc
ID_783940121230016512,Haiti starting to assess full damage from Hurricane Matthews wrath |  THE 350 TH NEEDED HELP BEFORE STORM,Haiti,Haiti start assess damage Hurricane Matthews wrath    350 TH needed help STORM
ID_1066203685443665920,"The nation’s deadliest wildfire in the past century has killed at least 84 people, and more than 560 are still unaccounted for.",,nation deadly wildfire past century kill 84 people 560 unaccounted
ID_910695149587521536,If you are interested in donating to a México Earthquake Relief Fund please consider Christian ministry World Vision,México,interested donate Mxico Earthquake Relief Fund consider Christian ministry World Vision
ID_783901181844131840,"#Haiti - 350,000 people in need of assistance after #HurricaneMatthew ! @Welthungerhilfe on the ground & ready to provide help",Haiti,Haiti   350000 people need assistance HurricaneMatthew    ground   ready provide help
ID_1062088852620431360,"31 Dead, 250,000 Evacuated in California Fires as Governor Blames Climate Change",California,31 Dead 250000 evacuate California fire Governor blame Climate change
