tweet_id,cleaned_text,location
ID_1167557171200106496,keep eye storm track Sunrise Emergency Operations Center   detail City service status update hurricane preparedness tip know near shelter touch base neighbor preparednotscare,
ID_1167562217652457472,important Announcement hurricanestrong dorian hurricanedorian stormprep hurricaneseason lkld polk polkcounty lakeland lakelandfl,
ID_1167612406723489792,  Air Force evacuate aircraft ahead HurricaneDorian include Homestead Air Reserve Base spokeswoman location aircraft,
ID_1167820820900655104,m root Dorian damage maralago leave bring immense satisfaction till end year,
ID_1167853856501456896,sure prepare supply emergency plan check news update Hurricane Dorians impact SC,
ID_1167865772011487232,Tropical Storm Dorian Village Alert 3 500 advisory track  ,
ID_1167874946372001792,September middle hurricane season National Preparedness Month Hurricane Dorian Atlantic now perfect time check emergency kit ensure family plan place hurricane hit ReadyNC NCPrep nationalprepmonth,
ID_1167880853436788736,longduration nailbiter folk southeastern United States David Bibo deputy associate administrator Federal Emergency Management Agencys office response recovery tell reporter conference Hurricane Dorian,
ID_1167900216076337152,HurricaneDorian Charlotte Motor Soeedwat available evacuee,
ID_1167948325640757248,  DAI Incident Management Team   State Agriculture Response Team partner   like      work evacuate 400 animal 23 shelter Duval Clay Broward   county tip evacuate pet visit,
ID_1167983948544086016,  need find fucking portrait soon rip piece m tired make Dorian Gray reference maybe people not want deal hurricane damage house NC,
ID_1168023513405501440,hurricane Dorian force evacuation bahama,
ID_1168210555741454336,RT   Floridas mandatory evacuation order HurricaneDorian,
ID_1168225146479550464,HurricaneDorian Mandatory Evacuation zone AB St Johns Co FLwx,
ID_1168226718294953984,video destructive power HurricaneDorian leave speechless need come plan reconstruct island hurricanedorian damage AbacoIsland Epic,
ID_1168317253533782016,video show extent devastation catastrophic damage bahama HurricaneDorian2019    ,
ID_1168325238788120576,pass American Red Cross Text   DORIAN 90999 10 donation   1800redcross visit    information,
ID_1168339532913287168,poverty bahama bad poor people hit Hurricane Dorian literally tear link donate help,
ID_1176495974153367552,accord initial information JK 19 casualty 300 injure miner injury fact clear passage time earthquake,
ID_1176496111613284352,Mohtarma Benazir Bhutto Medical college boy hostel severely damage earthquake Ya Allah reham earthquake,
ID_1176519911113445376,upper cannal Jehlium road destroy   earthquake,
ID_1176534453692354560,far 20 people kill 300 injure rescue team Pak Army arrive affect area operation Rescue operation continue Allaah mercy Earthquake,
ID_1176781302386892800,35 death 400 people report far devastating Earthquake jolt NorthernPakistan yesterday prayer affected people Allah safe kind natural disaster ameen,
ID_721730332970590208,RT   Ecuadors bad earthquake decade kill 233 injure 580,
ID_721738261337632768,RT   EcuadorEarthquake 200 report kill injure   emergency team prepare respond,
ID_721855433741307904,RT   Para donacione desde el extranjero donation abroad check link ecuador,
ID_721908490193801216,check donate help ecuador earthquake victim   va,
ID_722064140047642624,click support help earthquake victim ecuador JoseCarlos Pere,
ID_722069206947205120,help share information Ecuadors Relief Fund UNICEF desperate need help  ,
ID_722086510057635840,RT   EcuadorEarthquake leave hundred people dead injure way help  ,
ID_722163156638769152,  coast province hit help way Ppl ecuador unite send supply help,
ID_728574181948928000,instead missile hunt wildfire ember rain instead syrian refugee flee,
ID_728603599090024448,  want resident update location status wildfireca relocate camp north YMM,
ID_728604991397584896,catastrophic canadian wildfire sign destruction come snow warm spring mean acre,
ID_728633905411141632,Pincher Creek Coop donation bin wildfire relief   ad coop community,
ID_728644856575197184,12 structure destroy Anzac RT   Wildfire Update   6 1155 ymmfire fortmacfire,
ID_728705286467420160,RT   fire near FortStJohn BC prompt evacuation order CBCs   report,
ID_729091544645574656,RT   help pet affect fortmcmurray wildfire ud like 2 donate Pls drop   12 pm 8 ht,
ID_729143335475027968,RT   fortmcmurray wildfire map interactive evac industry relief update  ,
ID_729362464681250816,wildfire hazard SK extreme 12 active fire 2 contain threat community,
ID_729673285387079680,etobicoke twin raise 400 fortmcmurray wildfire victim weekend lemonade stand,
ID_729766853518741504,RT   Grade 4 student Kugaaruk Nunavut raise 250 help victim fortmcmurray wildfire kid awesome,
ID_729839195921993728,wonder   care donate Norm MacDonald,
ID_730400470200659968,volunteer provide pet care fortmcmurray wildfire evacuee,
ID_731309824298909696,home evacuate near Gold Bar Wash wildfire spread 30 acre Photo Snocountyfire7,
ID_731455959843917824,12 home evacuate wildfire near Gold Bar Wash   dougdking5,
ID_731512686547243008,Video Helicopter dumping water wildfire Gold Bar Wash   kiro7seattle,
ID_732181515895967744,RT   Evacuation notice issue Greenview new wildfire begins rapidly grow,
ID_732239833834229760,wildfire prompt evacuation order northeastern BC 100 firefighter battle blaze al,
ID_732570782031740928,RT   cottager head home wildfire evacuation lift Whiteshell manitobawildfires,
ID_732723401115107328,Attawapiskat donate wildfire relief fund,
ID_732991451093557248,check story Edmonton Journal   stupidtrudeau prayforsophie need help help sophie,
ID_733078333563359232,evacuation order lift wildfire northeast BC evacuation order rescind rural ar,
ID_733688875529293824,Beatton Airport Road wildfire northern BC leave patchwork damage    vernonnew,
ID_734857889995755520,RT   Energy Oil Gas update 1wildfiresparked evacuation order lift canadian work camp,
ID_735178846849404928,wildfire burn 5 time acreage year time,
ID_768468974854082560,RT   ItalyEarthquake help donate blood avoid Salaria affected area remove wifi password,
ID_768520413760618496,RT   Embassy Rome issue emergency message citizen follow ItalyEarthquake recommend defer travel,
ID_768550888399114240,refugee live Marche ngo GUS help protezionecivile ItalyEarthquake  ,
ID_768818737172582400,ItalyEarthquake village Ilica die house collapse early Wednesday,
ID_768851443117879296,restaurant world turn Amatrices famous pasta aid recovery ItalyEarthquake,
ID_768921609147191296,RT   Death toll ItalyEarthquake rise 250 accord Italys Civil Protection agency,
ID_768924405397352448,RT   Asylum seeker donate daily allowance ItalyEarthquake survivor   refugee EU Europe,
ID_769515903469907968,today donate 3 euro Pasta allAmatriciana dish order today 2 week La Taverna Restaurant italyearthquake,
ID_769910288481222656,Sant Angelo beautiful hamlet reduce nearly rublle ItalyEarthquake terremoto  ,
ID_769984880168042496,RT   Rome abroad way help victim ItalyEarthquake Learn,
ID_783407098654699520,VIDEOHurricaneMatthew death sadly reporteddom RepublicSt VincentColumbia HaitiUNDP work w humanitarian,
ID_783493456257687552,RT   Haitis infrastructure especially vulnerable Hurricane Matthew hit flood landslide  ,
ID_783639547703808000,hospital ship Comfort prepare deploy East Coast provide humanitarian assistance,
ID_783662293066346496,help affect Hurricane Matthew    haiti hurricanematthew,
ID_783750156286042112,RT   17 people kill Haitis hurricane Matthew   CitizenBusiness,
ID_783785407800565760,TheEconomist   flood street PortauPrince Hurricane Matthew slam Hai,
ID_783836362789097472,  hey hurricane kill 13 people far haiti stock stuff,
ID_784689314571485184,RT   Augusta safe haven thousand Hurricane Matthew evacuee,
ID_797791035795476480,RT   Tsuinami siren go coastal area Chch eqnz,
ID_797791081735671808,RT   Boil drinking water look smell bad report tap water taint brooklyn wgtn eqnz,
ID_797794239488741376,RT   Water go right Lyall Bay evacuate immediately eqnz,
ID_797822223453040640,RT   Timaru DC   activate emergency centre emergency declare advise people low lie area,
ID_797848229110910976,RT   Tsunami wave 1 metre CHRISTCHURCH low lie COASTAL area EVACUATE EQNZ,
ID_797867002962423808,port Timaru experience small tsunami activity eqnz advise stay away beach etc,
ID_797905734864207872,RT   date information State Highway road information include closure available   e,
ID_797974481138397184,BNZ building damage 2013 quake look badly damage the100 NBS likely eqnz,
ID_797992489441296384,friend home Parnassus sounds destroy   eqnz,
ID_797994890483245056,RT   Road lead Wairau diversion shut road damage eqnz nzearthquake,
ID_798002317127655424,childrenunexpectedlyhometodayduetoearthquake damage eqnz earthquake wellingtonnz,
ID_798013173076889600,RT   apparently Clarence River burst bank   water surge head downstream nearby clear eqnz,
ID_798669237027938304,RT   John Key say part State Highway damage repair Mondays quake   eqnz,
ID_798744524155748352,eqnz ve activate special emergency relief package customer impact week earthquake,
ID_798786733852631040,gutte hear seal breeding colony Ohau Point destroy quake love watch play rock pool 4 eqnz,
ID_870198877101727744,1st FloodSL relief foodaid collection successfully dear international Organizations support help people,
ID_870298761204912128,item family pack returnong home drop donation Anim8 Thimbirigasyaya FloodSL lka,
ID_870528515803709440,rs 1 million worth flood relief essential item donate Mannar resident hand flood affect people Galle FloodSL,
ID_870559191844491264,Hiru tv crew approach Nilawala interchange southern expressway relive donation floodsl,
ID_902650531503529984,break   show damage CAT 4 Hurricane Rockport TexasStrong HurricaneHarvey maga TRUMP Harvey,
ID_902658787080900608,Attn Iowans   hold Clear Shelter adoption event room animal displace harvey,
ID_902696015182012416,Exxon report Harvey storm damage emission Baytown refinery   environment pollution,
ID_902897278721163264,Astros believe Minute Maid Park not sustain major damage Harvey assessment today,
ID_903618920325709824,  donate 5 needy family suffer Hurricane Harvey help,
ID_903668005132959744,consider make donation   help Houstons homeless today year come harvey,
ID_905511427523403776,  big flood South Asia 1800 estimate dead uncountable homeless aid sight,
ID_905600382096752640,WEYERHAEUSER close land western MONTANA public access extreme forest FIRE danger   mtfire,
ID_905647905205248000,LATEST 3 people die Hurricane Irma caribbean injure,
ID_905721646010552320,LATEST Hurricane Irma kill 8 injury 23 french caribbean island territory   njmorningshow,
ID_905721825182830592,8 kill nearly 2 dozen injure Caribbean Irma,
ID_905738580034772992,RT   Caribbean need help Hurricane Irma Relief  ,
ID_905899198796660736,HurricaneIrma hit stthoma damage 80 home SalvationArmy serve Donate,
ID_905999661068148736,Irma Prompts large Evacuation MiamiDade County,
ID_906134840369668096,HurricaneIrma death toll rise 9 7 miss storm hit Frances Caribbean island   interior minister,
ID_906191991385534464,Rick Scott ignore evacuation order Floridians,
ID_906220850982084608,MiamiDade race open shelter ahead Hurricane Irma plan 40 100000 people,
ID_906307402529742848,St Martins famous airport badly damage Hurricane Irma,
ID_906513539401175040,island destroy Irma brace impact Hurricane Jose,
ID_906645137203367936,  oh God 85 St Marten totally destroy,
ID_906871868522680320,head MiamiDade hour dicey strong wind come Keys shelter Irma,
ID_907262817497227264,Irma damage bring tally Harvey 300B AccuWeather,
ID_907355309177532416,Kenny Chesneys St John residence destroy Irma simply go,
ID_907492875092365312,NorwegianSky deploy St Thomas assist humanitarian effort coordinate local gov Irma update,
ID_907744081044017152,low fuel light turn exit ramp FLL airport close damage boat marnia east FLL flwx hurricaneirma2017,
ID_907934034252095488,think ve see damage hard widespread place like USVirginIslands HurricaneIrma,
ID_908045879277473792,MiamiFL foster food need 4 dog leave tie poll fence tag collar doubt claim owner,
ID_908114652898324480,Hurricane Irma force Anna Maria Island resident evacuate time assess damage,
ID_908320341612748800,    good need water power food gas area Crystal Rivers start flood supply,
ID_908393066268110848,Huntsville leader stay ahead future flash flood floodway stay informed,
ID_908439719364657152,MiamiDade public school host food distribution event Hurricane Irma,
ID_908463698749960192,  m happy hear earthquake level village injure kill Prayers neighbor America,
ID_908526969456779264,Prime Osborn open door people need relief aftermath HurricaneIrma,
ID_908721429801250816,time work help community affect Irma assist St James Christian Academy cleanup morning itsnotaboutus,
ID_908815606102798336,Irma leave trail damage Apopka   mandatory evacuation order mandatory evacuation close,
ID_908925545370578944,Irma Barbudas 300yearold civilization extinguish    RO Water Filter,
ID_909386454111068160,way help victim Harvey Irma 5 tip disaster relief donation dollar,
ID_909419763306303488,donate 1000 100   help feed need SouthFlorida   IrmaRecovery,
ID_909420203947180032,RT   Hurricane Jose amble coast new Tropical Storm Maria track Irmas early path  ,
ID_909430097664409600,RT   temporary housing open Immokalee displace Hurricane Irma  ,
ID_909455122094280704,RT    Alico Arena serve shelter Hurricane Irma evacuee,
ID_909503639580037120,HurricaneIrma recovery effort continue Base housing RV park close Families ask stay away long diem,
ID_909541990127345664,UPDATE   relief supply hand 2 local official TheBahamas distribution 2 family affect HurricaneIrma,
ID_910708769247686656,Brigada de Rescate Topos Los Topos found 1985 MX earthquake   train collapse building rescue survivor,
ID_911974830479757312,team fromE12DA8F5 work site ruin sixstory building collapse Condesa MexicoEarthquake FuerzaMexico,
ID_912095234338754560,RT   remember radar go pr Maria move actual damage look like good htt,
ID_912179849707503616,Loiza town ravage Hurricane Irma 90 percent home   3000   destroy Maria,
ID_912183268577071104,hurricanemaria QUESTELL FAMILY miss 5 day PONCE help find,
ID_912376284365369344,RT   MexicoEarthquake Relief need Atlixco hmrd,
ID_914896320233709568,video   help people pr prepare 50 truckload water transport JAXPORT w come HurricaneMaria PRStrong,
ID_914963388840767488,Customs Border Protection continue support massive response effort follow HurricaneMaria NEWSROOM,
ID_914988875390619648,COOL PHOTO show   disaster team leader Tim Dominca port observe   airlift aid 4 HurricaneMaria response,
